case_id,model,model_label,prompt,split,situation,num_tokens,module,layer,projection,shape,n,d,row_size_kib,paper_parameter_source,budget_index,budget_fraction,row_budget,method,method_label,selected_rows,row_match,importance_retention,relative_l2_error,relative_mae,cosine_error,output_norm_ratio,chunks,selector_median_ms,selector_p95_ms,read_wall_median_ms,read_wall_p95_ms,actual_total_ms,direct_rate,deterministic,fallback_used,error
qwen05-001431,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.up_proj,0,up,896x4864,896,4864,9.5,table2,0,0.25,224,wave_k6,Wave K=6,224,True,0.29076449542157645,0.7920008301734924,0.8243256211280823,0.3894493579864502,0.6166749000549316,6,0.156583,0.1700362,0.937163,0.9744653,1.0937459999999999,1.0,True,False,
qwen05-001432,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.up_proj,0,up,896x4864,896,4864,9.5,table2,0,0.25,224,wave_k12,Wave K=12,224,True,0.29947520830790736,0.7836188673973083,0.8166957497596741,0.37862032651901245,0.6344707012176514,12,0.27254,0.2888876,0.979572,1.0077051000000001,1.252112,1.0,True,False,
qwen05-001433,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.up_proj,0,up,896x4864,896,4864,9.5,table2,0,0.25,224,wave_k18,Wave K=18,224,True,0.3045041457200601,0.781042754650116,0.8145583868026733,0.37536144256591797,0.638822078704834,18,0.384048,0.398331,1.023815,1.0628669000000002,1.4078629999999999,1.0,True,False,
qwen05-001434,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.up_proj,0,up,896x4864,896,4864,9.5,table2,0,0.25,224,wave_k24,Wave K=24,224,True,0.30840723648443874,0.7761011123657227,0.8095218539237976,0.3692536950111389,0.6439347267150879,24,0.480058,0.48494499999999996,1.022583,1.0570538999999999,1.5026410000000001,1.0,True,False,
qwen05-001435,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.up_proj,0,up,896x4864,896,4864,9.5,table2,1,0.5,448,paper,Paper,448,True,0.5453670067369776,0.6312534213066101,0.6619084477424622,0.22420185804367065,0.79433274269104,20,0.311804,0.3196025,1.486961,1.607759,1.798765,1.0,True,False,
qwen05-001436,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.up_proj,0,up,896x4864,896,4864,9.5,table2,1,0.5,448,tile8_ceil,Cell-8,448,True,0.5406668305606634,0.6362333297729492,0.6681749224662781,0.22824740409851074,0.7916253805160522,13,0.083325,0.0910443,1.436326,1.522753,1.519651,1.0,True,False,
qwen05-001437,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.up_proj,0,up,896x4864,896,4864,9.5,table2,1,0.5,448,wave_k1,Wave K=1,448,True,0.5232664268208438,0.6541177034378052,0.6869582533836365,0.2435358166694641,0.7668623328208923,1,0.139231,0.1583281,1.315841,1.4515358,1.455072,1.0,True,False,
qwen05-001438,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.up_proj,0,up,896x4864,896,4864,9.5,table2,1,0.5,448,wave_k6,Wave K=6,448,True,0.5369780477422045,0.6396923661231995,0.6720048189163208,0.23110270500183105,0.7891313433647156,6,0.190155,0.2024814,1.469828,1.5197096,1.659983,1.0,True,False,
qwen05-001439,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.up_proj,0,up,896x4864,896,4864,9.5,table2,1,0.5,448,wave_k12,Wave K=12,448,True,0.5434037824476536,0.633003294467926,0.6649388074874878,0.22567254304885864,0.790950357913971,12,0.220452,0.23946,1.55613,1.6392567,1.776582,1.0,True,False,
qwen05-001440,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.up_proj,0,up,896x4864,896,4864,9.5,table2,1,0.5,448,wave_k18,Wave K=18,448,True,0.5461524132417784,0.6310856938362122,0.6616925001144409,0.22403842210769653,0.79559725522995,18,0.580325,0.7277594000000001,1.432519,1.533445,2.0128440000000003,1.0,True,False,
qwen05-001441,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.up_proj,0,up,896x4864,896,4864,9.5,table2,1,0.5,448,wave_k24,Wave K=24,448,True,0.5497314143331724,0.6265814900398254,0.6578664779663086,0.22047173976898193,0.7959224581718445,24,0.719315,0.7700174,1.563564,1.5812643,2.282879,1.0,True,False,
qwen05-001442,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.up_proj,0,up,896x4864,896,4864,9.5,table2,2,0.75,672,paper,Paper,672,True,0.7788295282480646,0.44057098031044006,0.4639294445514679,0.10220158100128174,0.909827709197998,24,0.366796,0.4603636,2.033263,2.1027646,2.4000589999999997,1.0,True,False,
qwen05-001443,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.up_proj,0,up,896x4864,896,4864,9.5,table2,2,0.75,672,tile8_ceil,Cell-8,672,True,0.7773346281348377,0.4424492418766022,0.4658764898777008,0.1031414270401001,0.9076653122901917,15,0.087894,0.0901395,1.968862,1.9771402,2.056756,1.0,True,False,
qwen05-001444,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.up_proj,0,up,896x4864,896,4864,9.5,table2,2,0.75,672,wave_k1,Wave K=1,672,True,0.7594378708417981,0.4713329076766968,0.4972265958786011,0.11799359321594238,0.8915086984634399,1,0.120355,0.12973300000000001,2.345397,2.3480016,2.465752,1.0,True,False,
qwen05-001445,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.up_proj,0,up,896x4864,896,4864,9.5,table2,2,0.75,672,wave_k6,Wave K=6,672,True,0.7712265597034492,0.4512415826320648,0.47634661197662354,0.10750359296798706,0.9054948687553406,6,0.139851,0.1412676,2.219732,2.3532353,2.359583,1.0,True,False,
qwen05-001446,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.up_proj,0,up,896x4864,896,4864,9.5,table2,2,0.75,672,wave_k12,Wave K=12,672,True,0.776227467738479,0.44490817189216614,0.46924135088920593,0.10437434911727905,0.9050433039665222,12,0.13881,0.14777310000000002,2.114835,2.1594507,2.2536449999999997,1.0,True,False,
qwen05-001447,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.up_proj,0,up,896x4864,896,4864,9.5,table2,2,0.75,672,wave_k18,Wave K=18,672,True,0.780584867990393,0.43743592500686646,0.4600701928138733,0.10069912672042847,0.9089089035987854,18,0.327773,0.3523349,1.995582,2.0133903,2.323355,1.0,True,False,
qwen05-001448,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.up_proj,0,up,896x4864,896,4864,9.5,table2,2,0.75,672,wave_k24,Wave K=24,672,True,0.7812026821778125,0.4362713694572449,0.46020442247390747,0.10013902187347412,0.9089391231536865,24,0.174336,0.2351904,1.870538,1.9849531999999999,2.044874,1.0,True,False,
qwen05-001449,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.down_proj,0,down,4864x896,4864,896,1.75,table2,0,0.25,1216,paper,Paper,1212,False,0.27552619539223033,0.7245382070541382,0.75213223695755,0.27414101362228394,0.49820396304130554,10,0.288059,0.3644501,1.095629,1.1009228,1.383688,1.0,True,False,
qwen05-001450,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.down_proj,0,down,4864x896,4864,896,1.75,table2,0,0.25,1216,tile8_ceil,Cell-8,1216,True,0.27329593552432957,0.735794723033905,0.758566677570343,0.2838233709335327,0.4831472933292389,8,0.138098,0.2073575,0.975514,1.0062886,1.113612,1.0,True,False,
qwen05-001451,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.down_proj,0,down,4864x896,4864,896,1.75,table2,0,0.25,1216,wave_k1,Wave K=1,1216,True,0.26047989477167716,0.7879025936126709,0.7989062070846558,0.3358957767486572,0.41545867919921875,1,0.142597,0.1460593,1.040957,1.2245488999999998,1.183554,1.0,True,False,
qwen05-001452,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.down_proj,0,down,4864x896,4864,896,1.75,table2,0,0.25,1216,wave_k6,Wave K=6,1216,True,0.27313431838836183,0.7422922253608704,0.7591007351875305,0.2968377470970154,0.4900081157684326,6,0.21903,0.2222673,0.963762,1.0193523,1.182792,1.0,True,False,
qwen05-001453,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.down_proj,0,down,4864x896,4864,896,1.75,table2,0,0.25,1216,wave_k12,Wave K=12,1216,True,0.2776936198762698,0.7264261245727539,0.7500906586647034,0.2787001132965088,0.5022832751274109,12,0.594883,0.6248359,1.003457,1.0054406,1.59834,1.0,True,False,
qwen05-001454,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.down_proj,0,down,4864x896,4864,896,1.75,table2,0,0.25,1216,wave_k18,Wave K=18,1216,True,0.2834554547509947,0.7076514959335327,0.7306899428367615,0.2614230513572693,0.5234809517860413,18,1.099757,1.1436689,1.000631,1.0306397,2.100388,1.0,True,False,
qwen05-001455,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.down_proj,0,down,4864x896,4864,896,1.75,table2,0,0.25,1216,wave_k24,Wave K=24,1216,True,0.28882997458393633,0.699658989906311,0.7238187193870544,0.2555910348892212,0.5354419350624084,24,1.13385,1.277859,1.064812,1.0750909,2.198662,1.0,True,False,
qwen05-001456,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.down_proj,0,down,4864x896,4864,896,1.75,table2,1,0.5,2432,paper,Paper,2430,False,0.5281998975839851,0.523514986038208,0.5558923482894897,0.1307147741317749,0.6968770027160645,20,0.283771,0.3063664,1.512719,1.7134523000000002,1.79649,1.0,True,False,
qwen05-001457,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.down_proj,0,down,4864x896,4864,896,1.75,table2,1,0.5,2432,tile8_ceil,Cell-8,2432,True,0.5276554374740946,0.5341137647628784,0.5638222098350525,0.1379106044769287,0.6933426260948181,16,0.184816,0.19707940000000002,1.565608,1.6359754,1.7504240000000002,1.0,True,False,
qwen05-001458,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.down_proj,0,down,4864x896,4864,896,1.75,table2,1,0.5,2432,wave_k1,Wave K=1,2432,True,0.5033308980376453,0.5986514091491699,0.6296460628509521,0.17303258180618286,0.6213988661766052,1,0.142075,0.1428148,1.864527,1.9639023,2.006602,1.0,True,False,
qwen05-001459,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.down_proj,0,down,4864x896,4864,896,1.75,table2,1,0.5,2432,wave_k6,Wave K=6,2432,True,0.5215695758090791,0.5513230562210083,0.5776872038841248,0.1458391547203064,0.6710003614425659,6,0.264374,0.273455,1.463467,1.5320677,1.7278410000000002,1.0,True,False,
qwen05-001460,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.down_proj,0,down,4864x896,4864,896,1.75,table2,1,0.5,2432,wave_k12,Wave K=12,2432,True,0.5289748673182753,0.5286429524421692,0.5590652823448181,0.13424891233444214,0.6954924464225769,12,0.424434,0.4558485,1.454581,1.5527115999999999,1.8790149999999999,1.0,True,False,
qwen05-001461,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.down_proj,0,down,4864x896,4864,896,1.75,table2,1,0.5,2432,wave_k18,Wave K=18,2432,True,0.5307715064290788,0.522007167339325,0.5522374510765076,0.13040846586227417,0.7002378702163696,18,1.020198,1.3480239,1.557253,1.5707872,2.577451,1.0,True,False,
qwen05-001462,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.down_proj,0,down,4864x896,4864,896,1.75,table2,1,0.5,2432,wave_k24,Wave K=24,2432,True,0.5347866874578197,0.5158533453941345,0.5471667051315308,0.12762689590454102,0.7076325416564941,24,1.760803,1.9493908,1.517358,1.5868965,3.278161,1.0,True,False,
qwen05-001463,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.down_proj,0,down,4864x896,4864,896,1.75,table2,2,0.75,3648,paper,Paper,3648,True,0.7693470429951397,0.32529181241989136,0.3537709712982178,0.05014240741729736,0.8601687550544739,28,0.329576,0.3575822,2.004339,2.0444186999999996,2.3339149999999997,1.0,True,False,
qwen05-001464,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.down_proj,0,down,4864x896,4864,896,1.75,table2,2,0.75,3648,tile8_ceil,Cell-8,3648,True,0.7723570277074606,0.3222534954547882,0.3558589220046997,0.04964756965637207,0.8665854334831238,19,0.146875,0.1673248,2.222787,2.2798911,2.369662,1.0,True,False,
qwen05-001465,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.down_proj,0,down,4864x896,4864,896,1.75,table2,2,0.75,3648,wave_k1,Wave K=1,3648,True,0.7590518333044064,0.3707634210586548,0.39563193917274475,0.0641741156578064,0.8207799792289734,1,0.138629,0.1475021,2.409507,2.4548886,2.548136,1.0,True,False,
qwen05-001466,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.down_proj,0,down,4864x896,4864,896,1.75,table2,2,0.75,3648,wave_k6,Wave K=6,3648,True,0.7629660248513377,0.352376252412796,0.3819658160209656,0.05837130546569824,0.8375453352928162,6,0.249166,0.2940526,2.336009,2.4199835000000003,2.5851749999999996,1.0,True,False,
qwen05-001467,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.down_proj,0,down,4864x896,4864,896,1.75,table2,2,0.75,3648,wave_k12,Wave K=12,3648,True,0.7691243453373824,0.3333216607570648,0.36473628878593445,0.052186429500579834,0.8505833745002747,12,0.237594,0.2409132,2.191528,2.234467,2.429122,1.0,True,False,
qwen05-001468,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.down_proj,0,down,4864x896,4864,896,1.75,table2,2,0.75,3648,wave_k18,Wave K=18,3648,True,0.7738598689423718,0.321327805519104,0.3504506051540375,0.049302518367767334,0.8665714263916016,18,0.693818,0.713267,2.036008,2.1729646,2.729826,1.0,True,False,
qwen05-001469,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.0.mlp.down_proj,0,down,4864x896,4864,896,1.75,table2,2,0.75,3648,wave_k24,Wave K=24,3648,True,0.77326842381572,0.3236343264579773,0.35389119386672974,0.05009704828262329,0.8659104108810425,24,0.258273,0.2961891,1.945198,1.945369,2.203471,1.0,True,False,
qwen05-001470,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.q_proj,12,q,896x896,896,896,1.75,table2,0,0.25,224,paper,Paper,224,True,0.2826209284534557,0.3343869149684906,0.45676103234291077,0.05735659599304199,0.9228658676147461,2,0.218228,0.2419601,0.362498,0.3862301,0.580726,1.0,True,False,
qwen05-001471,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.q_proj,12,q,896x896,896,896,1.75,table2,0,0.25,224,tile8_ceil,Cell-8,224,True,0.28332757061406755,0.33950677514076233,0.4653249680995941,0.05920594930648804,0.9218679666519165,2,0.077885,0.0863342,0.403765,0.4057036,0.48164999999999997,1.0,True,False,
qwen05-001472,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.q_proj,12,q,896x896,896,896,1.75,table2,0,0.25,224,wave_k1,Wave K=1,224,True,0.2696588505053019,0.32775887846946716,0.4400160610675812,0.0550234317779541,0.9651420712471008,1,0.111709,0.1229347,0.295322,0.44217949999999995,0.407031,1.0,True,False,
qwen05-001473,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.q_proj,12,q,896x896,896,896,1.75,table2,0,0.25,224,wave_k6,Wave K=6,224,True,0.32253599069320044,0.27519723773002625,0.37241408228874207,0.038401901721954346,0.9414878487586975,6,0.145462,0.1605838,0.359252,0.3718394,0.504714,1.0,True,False,
qwen05-001474,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.q_proj,12,q,896x896,896,896,1.75,table2,0,0.25,224,wave_k12,Wave K=12,224,True,0.35257279826017535,0.24261386692523956,0.33439844846725464,0.029598772525787354,0.9471646547317505,12,0.167163,0.1724289,0.477763,0.5108919999999999,0.644926,1.0,True,False,
qwen05-001475,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.q_proj,12,q,896x896,896,896,1.75,table2,0,0.25,224,wave_k18,Wave K=18,224,True,0.37050304688926766,0.22709046304225922,0.31293168663978577,0.025838375091552734,0.9504803419113159,18,0.204883,0.26128419999999997,0.484947,0.4892121,0.68983,1.0,True,False,
qwen05-001476,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.q_proj,12,q,896x896,896,896,1.75,table2,0,0.25,224,wave_k24,Wave K=24,224,True,0.3812873968711714,0.2268083393573761,0.3116222620010376,0.025938451290130615,0.9586392641067505,24,0.42247,0.42412869999999997,0.556701,0.5649242999999999,0.979171,1.0,True,False,
qwen05-001477,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.q_proj,12,q,896x896,896,896,1.75,table2,1,0.5,448,paper,Paper,448,True,0.55189056962127,0.22304542362689972,0.30563974380493164,0.024639666080474854,0.9425422549247742,4,0.285513,0.31123049999999997,0.51854,0.5684666,0.804053,1.0,True,False,
qwen05-001478,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.q_proj,12,q,896x896,896,896,1.75,table2,1,0.5,448,tile8_ceil,Cell-8,448,True,0.5365883871684127,0.23276439309120178,0.31709644198417664,0.026888132095336914,0.9395538568496704,2,0.077716,0.0842527,0.480038,0.4806329,0.557754,1.0,True,False,
qwen05-001479,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.q_proj,12,q,896x896,896,896,1.75,table2,1,0.5,448,wave_k1,Wave K=1,448,True,0.5134900393687051,0.22871729731559753,0.31785786151885986,0.026422858238220215,0.9607627987861633,1,0.118282,0.1321762,0.664653,0.7235148,0.782935,1.0,True,False,
qwen05-001480,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.q_proj,12,q,896x896,896,896,1.75,table2,1,0.5,448,wave_k6,Wave K=6,448,True,0.56259202010579,0.20165401697158813,0.27772876620292664,0.02009892463684082,0.9503944516181946,6,0.127528,0.1377448,0.47573,0.4962797,0.603258,1.0,True,False,
qwen05-001481,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.q_proj,12,q,896x896,896,896,1.75,table2,1,0.5,448,wave_k12,Wave K=12,448,True,0.592864026476122,0.17733320593833923,0.2440028339624405,0.015729248523712158,0.9689066410064697,12,0.194203,0.22520349999999997,0.55048,0.584482,0.744683,1.0,True,False,
qwen05-001482,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.q_proj,12,q,896x896,896,896,1.75,table2,1,0.5,448,wave_k18,Wave K=18,448,True,0.601095604320699,0.16789068281650543,0.2323247790336609,0.014011859893798828,0.9670169949531555,18,0.262281,0.28326270000000003,0.648844,0.6714673,0.911125,1.0,True,False,
qwen05-001483,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.q_proj,12,q,896x896,896,896,1.75,table2,1,0.5,448,wave_k24,Wave K=24,448,True,0.6146925479151014,0.1624123901128769,0.22539576888084412,0.013212978839874268,0.9755470752716064,24,0.309359,0.34319,0.627313,0.6793312,0.936672,1.0,True,False,
qwen05-001484,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.q_proj,12,q,896x896,896,896,1.75,table2,2,0.75,672,paper,Paper,672,True,0.7902582823205129,0.1440841108560562,0.19241668283939362,0.01034557819366455,0.9763786792755127,5,0.234258,0.23675549999999998,0.627133,0.6297843999999999,0.861391,1.0,True,False,
qwen05-001485,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.q_proj,12,q,896x896,896,896,1.75,table2,2,0.75,672,tile8_ceil,Cell-8,672,True,0.7839925253554102,0.12729902565479279,0.17711634933948517,0.008040428161621094,0.9782141447067261,3,0.082084,0.0972949,0.619048,0.6784237,0.7011320000000001,1.0,True,False,
qwen05-001486,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.q_proj,12,q,896x896,896,896,1.75,table2,2,0.75,672,wave_k1,Wave K=1,672,True,0.7745095643869083,0.13834689557552338,0.19178065657615662,0.009515702724456787,0.976372480392456,1,0.122489,0.1392605,0.841474,0.8738173,0.963963,1.0,True,False,
qwen05-001487,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.q_proj,12,q,896x896,896,896,1.75,table2,2,0.75,672,wave_k6,Wave K=6,672,True,0.7933653973124781,0.12650451064109802,0.17598943412303925,0.007932066917419434,0.9778566360473633,6,0.133409,0.1431209,0.578442,0.6050325000000001,0.711851,1.0,True,False,
qwen05-001488,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.q_proj,12,q,896x896,896,896,1.75,table2,2,0.75,672,wave_k12,Wave K=12,672,True,0.813881596891497,0.10770032554864883,0.14972062408924103,0.005797922611236572,0.9881020188331604,12,0.130614,0.202704,0.706802,0.7275317,0.837416,1.0,True,False,
qwen05-001489,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.q_proj,12,q,896x896,896,896,1.75,table2,2,0.75,672,wave_k18,Wave K=18,672,True,0.8172235304138957,0.10836122184991837,0.15101829171180725,0.005888402462005615,0.9940558671951294,18,0.280845,0.3062646,0.897188,3.6462668,1.178033,1.0,True,False,
qwen05-001490,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.q_proj,12,q,896x896,896,896,1.75,table2,2,0.75,672,wave_k24,Wave K=24,672,True,0.8197370393718424,0.10720162838697433,0.14944703876972198,0.005762219429016113,0.99333256483078,24,0.14397,0.1878639,0.767656,0.8504128000000001,0.911626,1.0,True,False,
qwen05-001491,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.k_proj,12,k,896x128,896,128,0.25,table2,0,0.25,224,paper,Paper,224,True,0.2693873356377239,0.5455915331840515,0.5397510528564453,0.1498764157295227,0.7073647379875183,1,0.184795,0.18599469999999999,0.172563,0.1883958,0.35735799999999995,1.0,True,False,
qwen05-001492,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.k_proj,12,k,896x128,896,128,0.25,table2,0,0.25,224,tile8_ceil,Cell-8,224,True,0.26677077271743316,0.5491610169410706,0.5424028038978577,0.1514904499053955,0.7017233967781067,1,0.070983,0.0765648,0.214101,0.2167155,0.285084,1.0,True,False,
qwen05-001493,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.k_proj,12,k,896x128,896,128,0.25,table2,0,0.25,224,wave_k1,Wave K=1,224,True,0.2696588505053019,0.5460113883018494,0.5405564308166504,0.15016663074493408,0.7071965932846069,1,0.13906,0.1459126,0.168425,0.1773782,0.307485,1.0,True,False,
qwen05-001494,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.k_proj,12,k,896x128,896,128,0.25,table2,0,0.25,224,wave_k6,Wave K=6,224,True,0.32253599069320044,0.4320325553417206,0.4327400028705597,0.08339476585388184,0.7528455257415771,6,0.130093,0.1400029,0.243936,0.248391,0.37402899999999994,1.0,True,False,
qwen05-001495,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.k_proj,12,k,896x128,896,128,0.25,table2,0,0.25,224,wave_k12,Wave K=12,224,True,0.35257279826017535,0.3461248576641083,0.3512822091579437,0.05765831470489502,0.8539661765098572,12,0.178244,0.17832499999999998,0.40654,0.4421116,0.584784,1.0,True,False,
qwen05-001496,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.k_proj,12,k,896x128,896,128,0.25,table2,0,0.25,224,wave_k18,Wave K=18,224,True,0.37050304688926766,0.3175897002220154,0.3203657865524292,0.048292696475982666,0.8704048991203308,18,0.19813,0.2231977,0.343603,0.382132,0.541733,1.0,True,False,
qwen05-001497,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.k_proj,12,k,896x128,896,128,0.25,table2,0,0.25,224,wave_k24,Wave K=24,224,True,0.3812873968711714,0.31170544028282166,0.3141924738883972,0.04752236604690552,0.886343240737915,24,0.428502,0.4948023,0.484115,0.5372789,0.912617,1.0,True,False,
qwen05-001498,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.k_proj,12,k,896x128,896,128,0.25,table2,1,0.5,448,paper,Paper,448,True,0.5100001796789565,0.4266031086444855,0.4212789833545685,0.0872952938079834,0.790147602558136,1,0.186238,0.1976986,0.198301,0.2087509,0.38453899999999996,1.0,True,False,
qwen05-001499,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.k_proj,12,k,896x128,896,128,0.25,table2,1,0.5,448,tile8_ceil,Cell-8,448,True,0.5088076437899863,0.4181872010231018,0.4125458300113678,0.0849614143371582,0.804693341255188,1,0.070772,0.0786893,0.231082,0.2399731,0.301854,1.0,True,False,
qwen05-001500,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.k_proj,12,k,896x128,896,128,0.25,table2,1,0.5,448,wave_k1,Wave K=1,448,True,0.5134900393687051,0.397839218378067,0.395699679851532,0.06576663255691528,0.7579721212387085,1,0.137847,0.1424919,0.197319,0.2080767,0.33516599999999996,1.0,True,False,
qwen05-001501,qwen05,Qwen2.5-0.5B-Instruct,test_short_korean,holdout,short,54,model.layers.12.self_attn.k_proj,12,k,896x128,896,128,0.25,table2,1,0.5,448,wave_k6,Wave K=6,448,True,0.56259202010579,0.30883994698524475,0.313661128282547,0.044804930686950684,0.8669920563697815,6,0.130704,0.1357899,0.361576,0.3677887,0.49228,1.0,True,False,
